                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6843,                  3.398,                 1.6393,                0.21824,                0.13272,                0.10253,                0.06606,                 1.7746,                 4.1572,                 1.8525,                 0.0964,                 0.0004,                 0.0004
                      1,                 1.6619,                 3.1713,                 1.5729,                0.33797,                0.24585,                0.27422,                0.18415,                 1.7554,                 3.2838,                 1.8523,               0.091864,             0.00086436,             0.00086436
                      2,                  1.503,                 1.8319,                 1.5089,                0.72748,                0.70352,                0.74362,                 0.3707,                 1.7216,                 1.7033,                 1.9208,               0.087289,              0.0012891,              0.0012891
                      3,                 1.2569,                 1.1668,                 1.3423,                0.70265,                0.74472,                0.78952,                0.38887,                  1.684,                  1.787,                 1.7939,               0.082674,              0.0016743,              0.0016743
                      4,                 1.2258,                 1.0021,                 1.3245,                0.84193,                0.86817,                0.88811,                0.57679,                 1.1763,                 1.0772,                 1.4583,                0.07802,              0.0020198,              0.0020198
                      5,                 1.1527,                0.86371,                 1.2624,                0.92294,                0.94568,                  0.948,                 0.6057,                  1.237,                 0.8263,                 1.4241,               0.073326,              0.0023258,              0.0023258
                      6,                  1.177,                0.79301,                 1.2981,                0.95951,                0.95664,                   0.96,                0.62025,                 1.1625,                0.72179,                 1.3145,               0.068592,              0.0025922,              0.0025922
                      7,                 1.1139,                0.69043,                  1.245,                0.96068,                0.95579,                0.95759,                0.64495,                 1.1374,                0.62753,                 1.2949,               0.063819,              0.0028189,              0.0028189
                      8,                 1.1024,                 0.7354,                 1.2452,                0.83002,                0.94985,                0.95656,                0.59832,                 1.2597,                0.80313,                 1.3889,               0.059006,              0.0030061,              0.0030061
                      9,                 1.1269,                0.67485,                 1.2643,                0.95471,                0.90294,                0.96896,                0.61337,                 1.2482,                0.68079,                 1.3434,               0.054154,              0.0031536,              0.0031536
                     10,                 1.0287,                0.56617,                 1.1899,                0.93684,                0.95062,                0.97752,                 0.6252,                 1.2504,                0.64966,                 1.3418,               0.049262,              0.0032616,              0.0032616
                     11,                 1.1287,                0.56981,                 1.2152,                0.96195,                0.95957,                0.98555,                0.60963,                 1.2557,                0.58251,                 1.3642,                0.04433,                0.00333,                0.00333
                     12,                 1.0902,                0.58654,                 1.2103,                0.94835,                0.94223,                0.97132,                0.65833,                 1.1349,                0.63448,                 1.2558,               0.039359,              0.0033587,              0.0033587
                     13,                 1.0682,                0.58484,                  1.145,                0.96257,                0.95062,                0.98172,                0.62429,                 1.2372,                0.60287,                 1.3334,               0.034348,              0.0033479,              0.0033479
                     14,                 1.0472,                0.55363,                 1.1855,                0.95839,                0.96914,                0.98295,                0.66069,                 1.1796,                0.63746,                 1.2825,               0.029297,              0.0032974,              0.0032974
                     15,                 1.0738,                0.54517,                   1.32,                0.93447,                0.95788,                0.97529,                0.65088,                 1.1722,                0.70263,                 1.2766,               0.024207,              0.0032074,              0.0032074
                     16,                 1.0621,                0.54662,                 1.2577,                0.95503,                 0.9634,                0.97632,                0.65679,                 1.1517,                0.67517,                 1.2588,               0.019078,              0.0030778,              0.0030778
                     17,                 1.0409,                0.53397,                 1.2469,                0.95042,                0.97234,                0.97044,                0.66143,                 1.1863,                0.59116,                 1.3075,               0.013909,              0.0029085,              0.0029085
                     18,                 1.0239,                 0.4963,                 1.2407,                0.96124,                 0.9736,                0.98136,                 0.6462,                 1.2447,                 0.6291,                 1.3193,              0.0086997,              0.0026997,              0.0026997
                     19,                 1.0304,                0.49136,                 1.2461,                0.93871,                0.88928,                0.93192,                0.60922,                 1.2458,                0.75671,                 1.3506,              0.0034512,              0.0024512,              0.0024512
                     20,                 1.0107,                0.48712,                 1.2341,                0.96235,                0.92992,                0.95328,                0.64713,                 1.1981,                0.63744,                 1.2948,                0.00208,                0.00208,                0.00208
                     21,                 1.0008,                0.46858,                  1.233,                0.88717,                0.89992,                0.92067,                0.62032,                 1.1784,                0.74559,                 1.2946,                0.00208,                0.00208,                0.00208
                     22,                 1.0117,                0.46345,                 1.2102,                0.92489,                0.90571,                0.92904,                0.63305,                  1.183,                 0.7189,                 1.2943,               0.001684,               0.001684,               0.001684
                     23,                  1.025,                 0.4567,                 1.1969,                0.97119,                0.94847,                0.98472,                0.68069,                 1.1091,                0.50819,                 1.2309,               0.001288,               0.001288,               0.001288
                     24,                 1.0189,                0.45116,                 1.2334,                0.98562,                0.95434,                0.98834,                0.70056,                 1.0972,                0.47468,                 1.2219,               0.000892,               0.000892,               0.000892
